Week,mosquito: (Singapore)
2012-12-30,28
2013-01-06,28
2013-01-13,26
2013-01-20,30
2013-01-27,28
2013-02-03,29
2013-02-10,26
2013-02-17,37
2013-02-24,32
2013-03-03,33
2013-03-10,31
2013-03-17,33
2013-03-24,38
2013-03-31,35
2013-04-07,43
2013-04-14,47
2013-04-21,46
2013-04-28,53
2013-05-05,57
2013-05-12,44
2013-05-19,39
2013-05-26,54
2013-06-02,48
2013-06-09,100
2013-06-16,72
2013-06-23,39
2013-06-30,46
2013-07-07,49
2013-07-14,44
2013-07-21,39
2013-07-28,45
2013-08-04,40
2013-08-11,39
2013-08-18,45
2013-08-25,40
2013-09-01,31
2013-09-08,33
2013-09-15,28
2013-09-22,31
2013-09-29,34
2013-10-06,28
2013-10-13,37
2013-10-20,32
2013-10-27,31
2013-11-03,30
2013-11-10,33
2013-11-17,37
2013-11-24,27
2013-12-01,33
2013-12-08,35
2013-12-15,27
2013-12-22,29
2013-12-29,27
2018-12-30,52
2019-01-06,58
2019-01-13,55
2019-01-20,50
2019-01-27,58
2019-02-03,64
2019-02-10,70
2019-02-17,72
2019-02-24,70
2019-03-03,76
2019-03-10,66
2019-03-17,60
2019-03-24,55
2019-03-31,57
2019-04-07,75
2019-04-14,69
2019-04-21,69
2019-04-28,67
2019-05-05,85
2019-05-12,71
2019-05-19,77
2019-05-26,75
2019-06-02,84
2019-06-09,100
2019-06-16,75
2019-06-23,78
2019-06-30,75
2019-07-07,62
2019-07-14,81
2019-07-21,82
2019-07-28,88
2019-08-04,95
2019-08-11,88
2019-08-18,81
2019-08-25,80
2019-09-01,67
2019-09-08,88
2019-09-15,73
2019-09-22,79
2019-09-29,63
2019-10-06,71
2019-10-13,78
2019-10-20,71
2019-10-27,77
2019-11-03,84
2019-11-10,77
2019-11-17,67
2019-11-24,69
2019-12-01,72
2019-12-08,67
2019-12-15,70
2019-12-22,68
2019-12-29,64
2015-12-27,8
2016-01-03,8
2016-01-10,7
2016-01-17,9
2016-01-24,12
2016-01-31,15
2016-02-07,8
2016-02-14,8
2016-02-21,7
2016-02-28,8
2016-03-06,7
2016-03-13,6
2016-03-20,7
2016-03-27,7
2016-04-03,6
2016-04-10,7
2016-04-17,7
2016-04-24,6
2016-05-01,7
2016-05-08,8
2016-05-15,8
2016-05-22,8
2016-05-29,8
2016-06-05,7
2016-06-12,8
2016-06-19,7
2016-06-26,7
2016-07-03,6
2016-07-10,7
2016-07-17,7
2016-07-24,7
2016-07-31,7
2016-08-07,6
2016-08-14,6
2016-08-21,7
2016-08-28,100
2016-09-04,55
2016-09-11,22
2016-09-18,17
2016-09-25,10
2016-10-02,8
2016-10-09,9
2016-10-16,7
2016-10-23,6
2016-10-30,7
2016-11-06,5
2016-11-13,6
2016-11-20,7
2016-11-27,6
2016-12-04,7
2016-12-11,6
2016-12-18,6
2016-12-25,5
2023-01-01,72
2023-01-08,78
2023-01-15,67
2023-01-22,75
2023-01-29,75
2023-02-05,85
2023-02-12,76
2023-02-19,89
2023-02-26,75
2023-03-05,85
2023-03-12,88
2023-03-19,76
2023-03-26,84
2023-04-02,84
2023-04-09,90
2023-04-16,80
2023-04-23,83
2023-04-30,92
2023-05-07,100
2023-05-14,94
2023-05-21,94
2023-05-28,91
2023-06-04,81
2023-06-11,91
2023-06-18,88
2023-06-25,96
2023-07-02,80
2023-07-09,93
2023-07-16,91
2023-07-23,90
2023-07-30,94
2023-08-06,90
2023-08-13,82
2023-08-20,74
2023-08-27,73
2023-09-03,98
2023-09-10,87
2023-09-17,84
2023-09-24,78
2023-10-01,87
2023-10-08,76
2023-10-15,81
2023-10-22,87
2023-10-29,75
2023-11-05,74
2023-11-12,83
2023-11-19,87
2023-11-26,86
2023-12-03,80
2023-12-10,85
2023-12-17,85
2023-12-24,94
2023-12-31,91
2023-12-31,86
2024-01-07,92
2024-01-14,75
2024-01-21,78
2024-01-28,76
2024-02-04,63
2024-02-11,62
2024-02-18,87
2024-02-25,86
2024-03-03,67
2024-03-10,67
2024-03-17,70
2024-03-24,83
2024-03-31,85
2024-04-07,84
2024-04-14,82
2024-04-21,88
2024-04-28,80
2024-05-05,84
2024-05-12,85
2024-05-19,88
2024-05-26,95
2024-06-02,71
2024-06-09,79
2024-06-16,88
2024-06-23,95
2024-06-30,81
2024-07-07,88
2024-07-14,87
2024-07-21,100
2014-12-28,58
2015-01-04,71
2015-01-11,59
2015-01-18,59
2015-01-25,68
2015-02-01,72
2015-02-08,59
2015-02-15,53
2015-02-22,73
2015-03-01,81
2015-03-08,72
2015-03-15,77
2015-03-22,60
2015-03-29,68
2015-04-05,85
2015-04-12,69
2015-04-19,82
2015-04-26,66
2015-05-03,88
2015-05-10,76
2015-05-17,72
2015-05-24,77
2015-05-31,66
2015-06-07,66
2015-06-14,75
2015-06-21,85
2015-06-28,71
2015-07-05,55
2015-07-12,74
2015-07-19,69
2015-07-26,60
2015-08-02,62
2015-08-09,63
2015-08-16,66
2015-08-23,60
2015-08-30,60
2015-09-06,59
2015-09-13,52
2015-09-20,56
2015-09-27,70
2015-10-04,51
2015-10-11,74
2015-10-18,72
2015-10-25,71
2015-11-01,72
2015-11-08,82
2015-11-15,78
2015-11-22,70
2015-11-29,74
2015-12-06,74
2015-12-13,100
2015-12-20,86
2015-12-27,89
2013-12-29,28
2014-01-05,34
2014-01-12,30
2014-01-19,29
2014-01-26,34
2014-02-02,46
2014-02-09,57
2014-02-16,73
2014-02-23,95
2014-03-02,100
2014-03-09,85
2014-03-16,67
2014-03-23,50
2014-03-30,55
2014-04-06,38
2014-04-13,48
2014-04-20,53
2014-04-27,54
2014-05-04,44
2014-05-11,46
2014-05-18,35
2014-05-25,42
2014-06-01,40
2014-06-08,40
2014-06-15,39
2014-06-22,42
2014-06-29,38
2014-07-06,43
2014-07-13,41
2014-07-20,54
2014-07-27,42
2014-08-03,39
2014-08-10,42
2014-08-17,37
2014-08-24,44
2014-08-31,32
2014-09-07,33
2014-09-14,36
2014-09-21,31
2014-09-28,27
2014-10-05,25
2014-10-12,31
2014-10-19,31
2014-10-26,30
2014-11-02,26
2014-11-09,27
2014-11-16,24
2014-11-23,29
2014-11-30,28
2014-12-07,30
2014-12-14,26
2014-12-21,27
2014-12-28,26
2021-12-26,40
2022-01-02,56
2022-01-09,42
2022-01-16,53
2022-01-23,53
2022-01-30,54
2022-02-06,52
2022-02-13,61
2022-02-20,55
2022-02-27,54
2022-03-06,65
2022-03-13,62
2022-03-20,61
2022-03-27,61
2022-04-03,67
2022-04-10,76
2022-04-17,91
2022-04-24,99
2022-05-01,86
2022-05-08,89
2022-05-15,96
2022-05-22,91
2022-05-29,87
2022-06-05,76
2022-06-12,100
2022-06-19,89
2022-06-26,84
2022-07-03,80
2022-07-10,75
2022-07-17,70
2022-07-24,68
2022-07-31,74
2022-08-07,76
2022-08-14,71
2022-08-21,60
2022-08-28,66
2022-09-04,71
2022-09-11,74
2022-09-18,64
2022-09-25,65
2022-10-02,86
2022-10-09,75
2022-10-16,62
2022-10-23,63
2022-10-30,62
2022-11-06,55
2022-11-13,62
2022-11-20,55
2022-11-27,50
2022-12-04,48
2022-12-11,62
2022-12-18,55
2022-12-25,63
2019-12-29,37
2020-01-05,43
2020-01-12,39
2020-01-19,36
2020-01-26,44
2020-02-02,39
2020-02-09,49
2020-02-16,50
2020-02-23,50
2020-03-01,45
2020-03-08,42
2020-03-15,41
2020-03-22,52
2020-03-29,45
2020-04-05,41
2020-04-12,46
2020-04-19,53
2020-04-26,56
2020-05-03,68
2020-05-10,70
2020-05-17,61
2020-05-24,62
2020-05-31,73
2020-06-07,91
2020-06-14,98
2020-06-21,97
2020-06-28,100
2020-07-05,84
2020-07-12,88
2020-07-19,93
2020-07-26,90
2020-08-02,82
2020-08-09,81
2020-08-16,74
2020-08-23,66
2020-08-30,59
2020-09-06,51
2020-09-13,56
2020-09-20,46
2020-09-27,44
2020-10-04,47
2020-10-11,48
2020-10-18,46
2020-10-25,45
2020-11-01,30
2020-11-08,39
2020-11-15,41
2020-11-22,37
2020-11-29,39
2020-12-06,45
2020-12-13,31
2020-12-20,40
2020-12-27,37
2020-12-27,74
2021-01-03,73
2021-01-10,66
2021-01-17,74
2021-01-24,83
2021-01-31,69
2021-02-07,65
2021-02-14,69
2021-02-21,71
2021-02-28,96
2021-03-07,85
2021-03-14,75
2021-03-21,84
2021-03-28,86
2021-04-04,88
2021-04-11,94
2021-04-18,94
2021-04-25,100
2021-05-02,95
2021-05-09,86
2021-05-16,95
2021-05-23,94
2021-05-30,98
2021-06-06,93
2021-06-13,88
2021-06-20,82
2021-06-27,89
2021-07-04,82
2021-07-11,80
2021-07-18,87
2021-07-25,71
2021-08-01,72
2021-08-08,76
2021-08-15,74
2021-08-22,63
2021-08-29,75
2021-09-05,90
2021-09-12,77
2021-09-19,74
2021-09-26,82
2021-10-03,66
2021-10-10,69
2021-10-17,73
2021-10-24,56
2021-10-31,63
2021-11-07,69
2021-11-14,72
2021-11-21,76
2021-11-28,56
2021-12-05,53
2021-12-12,71
2021-12-19,60
2021-12-26,57
2017-01-01,79
2017-01-08,59
2017-01-15,74
2017-01-22,67
2017-01-29,70
2017-02-05,75
2017-02-12,73
2017-02-19,84
2017-02-26,70
2017-03-05,81
2017-03-12,77
2017-03-19,75
2017-03-26,80
2017-04-02,100
2017-04-09,92
2017-04-16,98
2017-04-23,82
2017-04-30,89
2017-05-07,96
2017-05-14,86
2017-05-21,81
2017-05-28,88
2017-06-04,71
2017-06-11,75
2017-06-18,74
2017-06-25,71
2017-07-02,71
2017-07-09,82
2017-07-16,86
2017-07-23,79
2017-07-30,73
2017-08-06,62
2017-08-13,86
2017-08-20,76
2017-08-27,73
2017-09-03,87
2017-09-10,75
2017-09-17,78
2017-09-24,82
2017-10-01,93
2017-10-08,83
2017-10-15,82
2017-10-22,84
2017-10-29,71
2017-11-05,66
2017-11-12,72
2017-11-19,77
2017-11-26,76
2017-12-03,80
2017-12-10,59
2017-12-17,52
2017-12-24,71
2017-12-31,72
2017-12-31,59
2018-01-07,68
2018-01-14,67
2018-01-21,80
2018-01-28,46
2018-02-04,67
2018-02-11,57
2018-02-18,68
2018-02-25,74
2018-03-04,74
2018-03-11,71
2018-03-18,71
2018-03-25,78
2018-04-01,81
2018-04-08,89
2018-04-15,79
2018-04-22,89
2018-04-29,77
2018-05-06,100
2018-05-13,81
2018-05-20,84
2018-05-27,89
2018-06-03,83
2018-06-10,78
2018-06-17,67
2018-06-24,91
2018-07-01,86
2018-07-08,82
2018-07-15,79
2018-07-22,68
2018-07-29,85
2018-08-05,80
2018-08-12,72
2018-08-19,63
2018-08-26,72
2018-09-02,54
2018-09-09,60
2018-09-16,63
2018-09-23,62
2018-09-30,72
2018-10-07,53
2018-10-14,69
2018-10-21,71
2018-10-28,61
2018-11-04,78
2018-11-11,87
2018-11-18,73
2018-11-25,98
2018-12-02,79
2018-12-09,90
2018-12-16,71
2018-12-23,68
2018-12-30,68
2012-01-01,68
2012-01-08,64
2012-01-15,61
2012-01-22,75
2012-01-29,83
2012-02-05,86
2012-02-12,74
2012-02-19,67
2012-02-26,78
2012-03-04,51
2012-03-11,60
2012-03-18,79
2012-03-25,82
2012-04-01,92
2012-04-08,92
2012-04-15,78
2012-04-22,91
2012-04-29,91
2012-05-06,100
2012-05-13,89
2012-05-20,75
2012-05-27,68
2012-06-03,85
2012-06-10,94
2012-06-17,71
2012-06-24,82
2012-07-01,76
2012-07-08,86
2012-07-15,100
2012-07-22,95
2012-07-29,100
2012-08-05,93
2012-08-12,95
2012-08-19,95
2012-08-26,85
2012-09-02,91
2012-09-09,93
2012-09-16,95
2012-09-23,76
2012-09-30,75
2012-10-07,76
2012-10-14,60
2012-10-21,80
2012-10-28,61
2012-11-04,73
2012-11-11,72
2012-11-18,70
2012-11-25,71
2012-12-02,87
2012-12-09,55
2012-12-16,67
2012-12-23,80
2012-12-30,90
